행정구역코드,시도명,시군구명,연도,총인구,고령인구_65세이상,의사수_예측,구급차수,응급시설수_총,의사_인구10만명당,구급차_인구10만명당,응급시설_인구10만명당,취약지수,취약지역_여부,목표_의사수,추가_의사수,목표_구급차수,추가_구급차수,목표_응급시설수,추가_응급시설수
41150,경기도,의정부시,2025,458188.7755,89805.0,1561.933333,8.0,5.0,340.8929718,1.746005234,1.091253271,0.881010409,0.0,1787.615553,226.0,59.48577726,52.0,12.66101007,8.0
41500,경기도,이천시,2025,227528.0899,40500.0,458.5333333,7.0,2.0,201.5282305,3.07654321,0.879012346,0.889101601,0.0,887.6968928,430.0,29.53953916,23.0,6.287223936,5.0
41480,경기도,파주시,2025,514976.0479,86001.0,944.1333333,11.0,4.0,183.3353876,2.136021674,0.776735154,0.902702255,0.0,2009.170111,1066.0,66.85836083,56.0,14.23019785,11.0
41220,경기도,평택시,2025,624855.0725,86230.0,1339.0,14.0,6.0,214.2896904,2.240519541,0.96022266,0.859216475,0.0,2437.861218,1099.0,81.1237456,68.0,17.26645607,12.0
41650,경기도,포천시,2025,156936.9748,37351.0,298.2666667,11.0,2.0,190.0550632,7.009183154,1.274396937,0.870234947,0.0,612.2868827,315.0,20.37482895,10.0,4.336598197,3.0
41450,경기도,하남시,2025,328037.7358,52158.0,804.5333333,5.0,0.0,245.2563365,1.524214886,0.0,0.934840188,1.0,1279.833532,476.0,42.58851533,38.0,9.064580579,10.0
41590,경기도,화성시,2025,1009509.091,111046.0,2098.133333,14.0,4.0,207.8369925,1.386812672,0.396232192,0.884760843,0.0,3938.582193,1841.0,131.0626452,118.0,27.89549951,24.0
48310,경상남도,거제시,2025,232888.1988,37495.0,375.3333333,8.0,3.0,161.1645997,3.435124683,1.288171756,0.858044223,0.0,908.6092645,534.0,30.2354319,23.0,6.435338416,4.0
48880,경상남도,거창군,2025,58344.61538,18962.0,123.7333333,6.0,1.0,212.0732693,10.28372535,1.713954224,0.871176475,0.0,227.6305041,104.0,7.574770446,2.0,1.61222143,1.0
48820,경상남도,고성군,2025,46935.30997,17413.0,85.4,5.0,2.0,181.9525642,10.65296043,4.261184173,0.829153007,0.0,183.1172971,98.0,6.093522024,2.0,1.296951091,0.0
48250,경상남도,김해시,2025,546411.7647,83601.0,1183.733333,15.0,6.0,216.6376,2.745182474,1.09807299,0.858300283,0.0,2131.816014,949.0,70.93960015,56.0,15.09885275,10.0
48840,경상남도,남해군,2025,39074.94145,16685.0,69.4,5.0,1.0,177.6074318,12.79592448,2.559184897,0.876814732,0.0,152.4502057,84.0,5.073025329,1.0,1.079747592,1.0
48270,경상남도,밀양시,2025,100143.695,34149.0,198.6666667,7.0,1.0,198.3816022,6.989955782,0.998565112,0.918629855,1.0,390.7088876,193.0,13.00146545,7.0,2.767244416,2.0
48240,경상남도,사천시,2025,109638.7833,28835.0,238.5333333,7.0,3.0,217.5629154,6.384602046,2.73625802,0.836666315,0.0,427.7538096,190.0,14.2341947,8.0,3.029619696,1.0
48860,경상남도,산청군,2025,32360.91954,14077.0,64.0,5.0,1.0,197.7694111,15.45073524,3.090147048,0.853559726,0.0,126.2555658,63.0,4.201356634,0.0,0.894220788,0.0
48330,경상남도,양산시,2025,357543.4783,65788.0,1360.8,9.0,3.0,380.5970694,2.517176385,0.839058795,0.867835828,0.0,1394.949673,35.0,46.41918975,38.0,9.879905008,7.0
48720,경상남도,의령군,2025,24274.00468,10365.0,34.73333333,3.0,1.0,143.0885995,12.35890014,4.119633382,0.85004743,0.0,94.70460788,60.0,3.15144786,1.0,0.670757195,0.0
48170,경상남도,진주시,2025,343445.4976,72467.0,1219.933333,10.0,8.0,355.2043459,2.91167014,2.329336112,0.824504575,0.0,1339.946647,121.0,44.58887574,35.0,9.490339212,2.0
48740,경상남도,창녕군,2025,56144.77212,20942.0,115.8,6.0,1.0,206.2525069,10.68665839,1.781109732,0.885572012,0.0,219.0478537,104.0,7.289168979,2.0,1.551433739,1.0
48120,경상남도,창원시,2025,993470.0,198694.0,3094.733333,29.0,10.0,311.5074772,2.919061471,1.006572921,0.879438351,0.0,3876.005958,782.0,128.9803206,100.0,27.45229552,18.0
48220,경상남도,통영시,2025,118189.9225,30493.0,227.0666667,5.0,1.0,192.1201587,4.230479126,0.846095825,0.918958673,1.0,461.1159308,235.0,15.34437284,11.0,3.265911079,3.0
48850,경상남도,하동군,2025,38061.03286,16214.0,64.66666667,6.0,1.0,169.9025533,15.76415443,2.627359072,0.860375817,0.0,148.494459,84.0,4.941391506,0.0,1.051730522,1.0
48730,경상남도,함안군,2025,59542.20779,18339.0,101.6666667,5.0,1.0,170.7472236,8.397404439,1.679480888,0.882675661,0.0,232.30289,131.0,7.73025159,3.0,1.645314186,1.0
48870,경상남도,함양군,2025,34679.01235,14045.0,71.2,6.0,1.0,205.3114988,17.30153079,2.883588466,0.835727511,0.0,135.2995646,65.0,4.502310214,0.0,0.958276038,0.0
48890,경상남도,합천군,2025,38521.73913,17720.0,86.4,7.0,1.0,224.2889391,18.17155756,2.595936795,0.856352168,0.0,150.2918965,64.0,5.001204124,0.0,1.064461098,1.0
47290,경상북도,경산시,2025,291566.3265,57147.0,595.5333333,6.0,2.0,204.253125,2.057850806,0.685950269,0.919716219,1.0,1137.540961,543.0,37.85350162,32.0,8.056775706,7.0
47130,경상북도,경주시,2025,254522.5564,67703.0,526.7333333,13.0,2.0,206.949569,5.107602322,0.785784973,0.914452078,1.0,993.0153352,467.0,33.0441794,21.0,7.033154937,6.0
47830,경상북도,고령군,2025,30775.34247,11233.0,53.8,4.0,1.0,174.8152764,12.99741832,3.24935458,0.836851197,0.0,120.0694644,67.0,3.995504179,0.0,0.850406954,0.0
47190,경상북도,구미시,2025,405477.9412,55145.0,890.4666667,10.0,3.0,219.6091516,2.466225406,0.739867622,0.866101742,0.0,1581.965148,692.0,52.6424299,43.0,11.20446543,9.0
47150,경상북도,김천시,2025,134910.7143,37775.0,278.2,6.0,2.0,206.2104567,4.447385837,1.482461946,0.90282414,0.0,526.3518097,249.0,17.51520144,12.0,3.727952327,2.0
